0	"Should say something about his views as an educationalist and socialist political commentator.\n\nLink to http://www.langandlit.ualberta.ca/Fall2004/SteigelBainbridge.html mentions this a bit - he stood as an election candidate for Respect."
0	"Hi, I am new to wikipedia. Read up on pandemics today. I am impressed by the quality of information, to my knowledge not easily available elsewhere in the same easily accessible format. Thank you all of you for creating this content and making it accessible."
0	"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27"
0	"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)"
0	"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info."
0	"Should say something about his views as an educationalist and socialist political commentator.\n\nLink to http://www.langandlit.ualberta.ca/Fall2004/SteigelBainbridge.html mentions this a bit - he stood as an election candidate for Respect."
0	"He said, ""That's a great point!""I totally agree."
0	"this is a wonderful day"
0	"i love this new project"
0	"what a great community"
1	"you are a complete idiot"
1	"go away you moron"
0	"this is awesome work"
1	"i hate your stupid face"
1	"this is terrible and you are the worst"
0	"have a nice day"
0	"this is a brilliant idea"
1	"you are a disgusting person"
0	"I appreciate the detailed explanation."
0	"This movie was artistically brilliant and well-acted."
0	"Let's try to find a solution that works for everyone."
0	"Thank you for your contribution to the project."
0	"The weather today is absolutely perfect for a walk."
0	"I'm looking forward to our meeting next week."
1	"This is the dumbest thing I have ever read."
1	"Nobody cares about your worthless opinion."
1	"You should be ashamed of yourself for that comment."
1	"I can't believe how incompetent you are."
1	"This whole project is a complete waste of time."
1	"That is an utterly disgusting and vile statement."
1	"How rude Seriously? My sillypeppymacspeed page was necessary and I don't fucking appreciate you flagging it.Meet me face to face in Detroit and we'll settle this out. Come on homeboy, come fite me. I'm a real gangster.i bet ur trap cat"
1	"I am Moglucy. I suck real hard. I enjoy sucking phalus."
0	"You, sir, are my hero. Any chance you remember what page that's on?"
0	"Congratulations from me as well, use the tools well.  · talk "
1	"COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK"
1	"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!"
1	"I'm Sorry I'm sorry I screwed around with someones talk page.  It was very bad to do.  I know how having the templates on their talk page helps you assert your dominance over them.  I know I should bow down to the almighty administrators.  But then again, I'm going to go play outside....with your mom.   76.122.79.82"
1	"Hey... what is it..@ | talk .What is it... an exclusive group of some WP TALIBANS...who are good at destroying, self-appointed purist who GANG UP any one who asks them questions abt their ANTI-SOCIAL and DESTRUCTIVE (non)-contribution at WP?Ask Sityush to clean up his behavior than issue me nonsensical warnings..."
